Table,Field,Data,Type,Description,Values,Labels,Expression
trip,MODE,INT,categorical,Surveyed Trip Mode,5,Bike,"self.get_mode_bool('BIKE', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,6,TNC / Taxi,"self.get_mode_bool('TNC / TAXI', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,7,WALK-BUS,"self.get_mode_bool('WALK-BUS', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,8,WALK-METRO,"self.get_mode_bool('WALK-METRO', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,9,PNR-BUS,"self.get_mode_bool('PNR-BUS', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,10,PNR-METRO,"self.get_mode_bool('PNR-METRO', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,11,KNR-BUS,"self.get_mode_bool('TRANSIT-BUS', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,12,KNR-METRO,"self.get_mode_bool('TRANSIT-METRO', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,13,Company-Bus,"self.get_mode_bool('COMPANY-BUS', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,14,Schoolbus,"self.get_mode_bool('SCHOOLBUS', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,15,Other,"self.get_mode_bool('OTHER', trip, trip_hhcompanions_pnum)"
trip,DEP_HR,INT,continuous,Trip Departure Hour (0- 23),,,trip.start_h
trip,DEP_MIN,INT,continuous,Trip Departure Minute of Hour (0-59),,,trip.start_min
trip,ARR_HR,INT,continuous,Trip Arrival Hour (0-23),,,trip.arrival_h
trip,ARR_MIN,INT,continuous,Trip Arrival Minute of Hour (0-59),,,trip.arrival_min
trip,DRIVER,INT,categorical,Flag to indicate whether the person was driving,1,Driver,trip.mode_mainline.isin([2])
trip,DRIVER,INT,categorical,Flag to indicate whether the person was driving,2,Passenger / NA,~trip.mode_mainline.isin([2])
trip,TOLL_NO,INT,categorical,Toll Payed on Trip,1,Yes,~trip.car_salikgates.isnull()
trip,TOLL_NO,INT,categorical,Toll Payed on Trip,2,No,trip.car_salikgates.isnull()
trip,TOTTR,INT,continuous,Total Travellers on Trip,,,"pd.concat([trip.trip_companions, trip_hhcompanions_pnum.groupby('trip_id').size()], axis=1).fillna(0).sum(axis=1).astype(int)"
trip,TOTTR_NEXT,INT,continuous,Total Travellers on subsequent trip (0 if last trip),,,"self.get_TOTTR_NEXT(trip, trip_hhcompanions_pnum)"
trip,HHMEM,INT,continuous,Number of household members on the trip,,,"trip.trip_hhcompanions_pnum.str.split(',').explode().groupby('trip_id').size()-1"
trip,PER1,INT,continuous,Person ID of first additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(0).astype(str).reindex(trip.index)
trip,PER2,INT,continuous,Person ID of second additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(1).astype(str).reindex(trip.index)
trip,PER3,INT,continuous,Person ID of third additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(2).astype(str).reindex(trip.index)
trip,PER4,INT,continuous,Person ID of fourth additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(3).astype(str).reindex(trip.index)
trip,PER5,INT,continuous,Person ID of fifth additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(4).astype(str).reindex(trip.index)
trip,PER6,INT,continuous,Person ID of sixth additional household member on trip,,,trip_hhcompanions_pnum.groupby('trip_id').trip_hhcompanions_pnum.nth(5).astype(str).reindex(trip.index)
trip,XCORD,INT,continuous,X Coordinate (longitude),,,"self.get_XYCORD('LON', trip)"
trip,YCORD,INT,continuous,Y Coordinate (latitude),,,"self.get_XYCORD('LAT', trip)"
trip,WXCORD,INT,continuous,Work X Coordinate (longitude),,,"self.get_WXYCORD('LON', trip)"
trip,WYCORD,INT,continuous,Work Y Coordinate (latitude),,,"self.get_WXYCORD('LAT', trip)"
trip,PLANO,INT,continuous,Place Number per person,,,trip.trip_num
trip,DAYNO,INT,continuous,Day Number per person,,,"trip.reset_index().merge(day.set_index('person_id').sort_values('day_date').groupby(level=0).day_date.rank().astype(int), on='person_id', how='left').set_index('trip_id').day_date"
trip,PNAME,INT,continuous,Place name,,,"trip.reset_index().merge(zone[['OLDZONE', 'NAME']], left_on='dest_zone_id', right_on='OLDZONE', how='left').set_index('trip_id').NAME"
trip,DISTANCE,REAL,continuous,Trip distance in km,,,"trip.trip_dist_km + trip.trip_dist_m/1000"
trip,BUFFER_DIST,REAL,continuous,Trip distance in km,,,"self.get_buffer_dist(trip)"
# place,place_id,INT,continuous,dataframe index,,,"pd.Series(trip.index, index=trip.index)"
# place,SAMPN,INT,continuous,Household ID,,,trip.household_id
# place,PERNO,INT,continuous,Person ID,,,trip.person_num
# place,PLANO,INT,continuous,Place Number per person,,,trip.trip_num
# place,DAYNO,INT,continuous,Day Number per person,,,"trip.reset_index().merge(day.set_index('person_id').sort_values('day_date').groupby(level=0).day_date.rank().astype(int), on='person_id', how='left').set_index('trip_id').day_date"
# place,XCORD,INT,continuous,X Coordinate (longitude),,,"trip.dest_latlon.str.split(',', expand=True)[1]"
# place,YCORD,INT,continuous,Y Coordinate (latitude),,,"trip.dest_latlon.str.split(',', expand=True)[0]"
# place,WXCORD,INT,continuous,Work X Coordinate (longitude),,,"self.get_WXYCORD('X', trip)"
# place,WYCORD,INT,continuous,Work Y Coordinate (latitude),,,"self.get_WXYCORD('Y', trip)"
