household_id,has_labourer,hh_floors,hh_units,hh_under6yr,hh_over6yr,hh_maids,hh_under6yr_present,hh_over6yr_present,hh_tenure,hh_veh,hh_bikes,ptdist,hhincome,hhproptype,hhproptype_other,latlon,community,road,building,poi,emirate,interviewer_id,interviewer_company,interview_date,interview_time,interviewer_company_name,interviewer_company_num,home_zone_id,wt
1033,0.0,2.0,1.0,2.0,4.0,0.0,2.0,4.0,2,2.0,0.0,2,7,1,,"25.160580,55.211642",Umm Suqeuim 1,-,-,-,1,i4016,i4,2014-05-01,21:28:00,,356,635,1
1035,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2,2.0,0.0,4,6,1,,"25.160221,55.209914",UMM SUQUEIM 1,43 STREET A,0,0,1,i4015,i4,2014-05-01,19:55:00,,356,635,1
1038,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,2,2.0,0.0,4,6,1,,"25.159891,55.210268",UMM SUQUEIM 1,43 STREET A,-,-,1,i4015,i4,2014-05-01,20:46:00,,356,635,1
1040,0.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,2,2.0,0.0,4,8,1,,"25.160007,55.210054",UMM SUQUEIM 1,-,-,-,1,i4015,i4,2014-05-01,21:12:00,,356,635,1
1041,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,2,4.0,0.0,4,9,1,,"25.160017,55.209979",UMM SUQUEIM 1,-,-,-,1,i4015,i4,2014-05-01,21:24:00,,356,635,1
1042,0.0,2.0,1.0,0.0,5.0,0.0,0.0,5.0,2,3.0,0.0,2,6,1,,"25.197913,55.239934",Jumeirah 2,14B,65A,Jumeirah Beach Park Plaza,1,i4014,i4,2014-05-01,18:04:00,,342,610,1
1043,0.0,2.0,1.0,2.0,4.0,0.0,2.0,4.0,1,3.0,0.0,2,6,1,,"25.202505,55.243807",Jumeirah 2,-,-,-,1,i4014,i4,2014-05-01,20:07:00,,342,607,1
1044,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1,1.0,0.0,2,10,1,,"25.197214,55.238507",Jumeirah,-,-,Beach Park Plaza,1,i4017,i4,2014-05-01,17:54:00,,342,610,1
1046,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1,2.0,1.0,4,9,1,,"25.050234,55.163491",Jumeirah Islands,Cluster 28,11,-,1,i4009,i4,2014-05-01,13:28:00,,393,825,1
1047,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,2,3.0,0.0,2,9,1,,"25.197408,55.238850",Jumeirah 2,14B Street,101,-,1,i4009,i4,2014-05-01,17:44:00,,342,610,1
1048,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2,2.0,0.0,4,7,1,,"25.201777,55.242369",Jumeirah 2,25A Street,5A,-,1,i4009,i4,2014-05-01,18:59:00,,342,607,1
1049,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2,2.0,4.0,4,6,1,,"25.170378,55.218036",Al Jumeirah 2,14A Street,26,-,1,i4009,i4,2014-05-01,19:38:00,,356,629,1
1051,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,2,4.0,0.0,2,10,1,,"25.160036,55.209936",umm squeim 1,-,-,-,1,i4011,i4,2014-05-01,19:19:00,,356,635,1
1052,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,2,2.0,0.0,2,10,1,,"25.159978,55.209936",umm squeim 1,-,-,-,1,i4011,i4,2014-05-01,19:57:00,,356,635,1
1053,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,2,3.0,0.0,2,9,1,,"25.159862,55.210183",umm squiem 1,-,-,-,1,i4011,i4,2014-05-01,20:24:00,,356,635,1
1054,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,2,2.0,0.0,2,8,1,,"25.159327,55.210258",Umm squiem 1,-,-,-,1,i4011,i4,2014-05-01,20:43:00,,356,635,1
1055,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2,2.0,0.0,2,7,1,,"25.159386,55.210279",umm squeim 1,-,-,-,1,i4011,i4,2014-05-01,21:05:00,,356,635,1
1056,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2,2.0,0.0,2,8,1,,"25.159599,55.210419",umm squeim1 ,-,-,-,1,i4011,i4,2014-05-01,21:18:00,,356,635,1
1057,0.0,2.0,4.0,0.0,3.0,0.0,0.0,3.0,1,3.0,0.0,1,10,1,,"25.160891,55.209743",Umm Sequiem 1,,,,1,i4005,i4,2014-05-01,17:40:00,,356,635,1
1058,0.0,2.0,5.0,1.0,4.0,0.0,1.0,4.0,2,1.0,0.0,1,8,1,,"25.159687,55.209689",Umm Sequiem 1,,,,1,i4005,i4,2014-05-01,18:02:00,,356,635,1
1061,0.0,2.0,6.0,0.0,7.0,0.0,0.0,7.0,1,7.0,0.0,1,9,1,,"25.161891,55.210043",Umm Sequiem 1,,,,1,i4018,i4,2014-05-01,19:44:00,,356,635,1
1062,0.0,5.0,56.0,1.0,3.0,0.0,1.0,3.0,2,1.0,0.0,1,5,3,,"25.247801,55.306399",al karama ,-,-,-,1,i4001,i4,2014-05-03,17:13:00,,318,488,1
1063,0.0,3.0,24.0,0.0,6.0,0.0,0.0,6.0,2,1.0,0.0,1,2,3,,"25.248209,55.306635",Al karama,-,-,-,1,i4001,i4,2014-05-03,18:20:00,,318,488,1
1064,0.0,4.0,56.0,1.0,3.0,0.0,1.0,3.0,2,1.0,0.0,1,3,3,,"25.246986,55.306914",Al karama,-,-,-,1,i4001,i4,2014-05-03,19:43:00,,318,488,1
1065,0.0,5.0,56.0,0.0,4.0,0.0,0.0,4.0,2,0.0,0.0,2,4,3,,"25.246831,55.307322",Karama,-,-,-,1,i4002,i4,2014-05-03,17:04:00,,318,488,1
1066,0.0,3.0,42.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,5,3,,"25.246656,55.306764",Karama,-,-,-,1,i4002,i4,2014-05-03,17:49:00,,318,488,1
1069,0.0,4.0,32.0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,1,10,3,,"25.245744,55.305991",Karama,-,-,-,1,i4002,i4,2014-05-03,20:34:00,,318,489,1
1070,0.0,5.0,70.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,2,2,3,,"25.247821,55.306399",Al Karama,18A,-,- ,1,i4003,i4,2014-05-03,17:08:00,,318,488,1
1071,0.0,5.0,70.0,1.0,2.0,0.0,1.0,2.0,2,1.0,0.0,2,2,3,,"25.246579,55.306785",Al karama,20A,-,-,1,i4003,i4,2014-05-03,17:29:00,,318,488,1
1072,0.0,3.0,40.0,0.0,5.0,0.0,0.0,3.0,2,0.0,0.0,2,1,3,,"25.246113,55.306699",Al karama,-,Al Target,-,1,i4003,i4,2014-05-03,18:08:00,,318,488,1
1073,0.0,4.0,56.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,3,1,3,,"25.247530,55.307021",Al Karama,18A,AL Arti Palace,-,1,i4003,i4,2014-05-03,19:33:00,,318,488,1
1074,0.0,5.0,24.0,0.0,5.0,0.0,0.0,5.0,2,2.0,0.0,3,6,3,,"25.246501,55.305004",Al Karama,12c,Al waleed,-,1,i4003,i4,2014-05-03,20:40:00,,318,489,1
1075,0.0,5.0,50.0,0.0,1.0,0.0,0.0,1.0,2,0.0,0.0,2,6,3,,"25.247937,55.306377",Al Karama,-,-,-,1,i4006,i4,2014-05-03,17:05:00,,318,488,1
1076,0.0,3.0,24.0,0.0,1.0,0.0,0.0,1.0,2,0.0,0.0,3,3,3,,"25.247937,55.306485",Al karma,,,,1,i4006,i4,2014-05-03,18:26:00,,318,488,1
1077,0.0,3.0,45.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,3,5,3,,"25.250421,55.306957",AL Karama,-,-,-,1,i4006,i4,2014-05-03,18:35:00,,318,486,1
1078,0.0,3.0,42.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,5,3,,"25.247724,55.307000",Al Karama,-,-,-,1,i4006,i4,2014-05-03,19:10:00,,318,488,1
1001,0.0,40.0,407.0,0.0,3.0,0.0,0.0,2.0,1,2.0,0.0,1,5,3,,"25.078243,55.151056",JLT,-,-,-,1,i4005,i4,2014-04-23,18:21:00,,393,834,1
1003,0.0,40.0,407.0,1.0,2.0,0.0,1.0,2.0,2,1.0,0.0,3,3,3,,"25.078194,55.150981",JLT,-,-,-,1,i4012,i4,2014-04-23,20:03:00,,393,834,1
1004,0.0,40.0,407.0,0.0,6.0,0.0,0.0,6.0,2,1.0,0.0,3,5,3,,"25.078185,55.150981",JLT,-,-,-,1,i4012,i4,2014-04-23,20:29:00,,393,834,1
1005,0.0,40.0,407.0,0.0,2.0,0.0,0.0,1.0,2,2.0,1.0,4,3,3,,"25.078194,55.151067",JLT,-,Gold Crest View 1,.,1,i4013,i4,2014-04-23,19:10:00,,393,834,1
1006,0.0,40.0,407.0,0.0,3.0,0.0,0.0,3.0,2,0.0,0.0,3,10,3,,"25.078194,55.151067",JLT,-,,-,1,i4013,i4,2014-04-23,17:35:00,,393,834,1
1007,0.0,40.0,407.0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,3,10,3,,"25.078156,55.151110",JLT,-,Gold Crest V1,-,1,i4016,i4,2014-04-23,18:11:00,,393,834,1
1008,0.0,40.0,407.0,1.0,2.0,0.0,1.0,2.0,1,2.0,0.0,4,7,3,,"25.078146,55.151088",JLT,-,-,Gold Crest V1,1,i4016,i4,2014-04-23,18:45:00,,393,834,1
1009,0.0,40.0,407.0,1.0,2.0,0.0,1.0,2.0,2,1.0,0.0,2,6,3,,"25.078165,55.150970",JLT,-,-,-,1,i4016,i4,2014-04-23,20:05:00,,393,834,1
1010,0.0,40.0,407.0,0.0,4.0,0.0,0.0,3.0,1,3.0,0.0,1,7,3,,"25.078209,55.150986",JLT,-,-,-,1,i4019,i4,2014-04-23,17:20:00,,393,834,1
1080,0.0,4.0,56.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,3,3,3,,"25.246967,55.306807",Al karama,-,Al Arti building,-,1,i4007,i4,2014-05-03,19:45:00,,318,488,1
1081,0.0,3.0,24.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,2,4,3,,"25.247006,55.306828",Al karama,-,D,-,1,i4007,i4,2014-05-03,20:15:00,,318,488,1
1082,0.0,5.0,56.0,0.0,3.0,0.0,0.0,3.0,2,0.0,0.0,1,2,3,,"25.246889,55.306399",Al Karama,-,-,-,1,i4010,i4,2014-05-03,17:02:00,,318,489,1
1084,0.0,3.0,42.0,0.0,1.0,0.0,0.0,1.0,3,1.0,0.0,1,2,3,,"25.247064,55.306420",Al Karama,-,-,-,1,i4010,i4,2014-05-03,17:49:00,,318,489,1
1085,0.0,3.0,42.0,2.0,2.0,0.0,2.0,2.0,3,1.0,0.0,1,2,3,,"25.245996,55.306549",Al Karama,-,-,-,1,i4010,i4,2014-05-03,17:54:00,,318,488,1
1087,0.0,3.0,42.0,0.0,4.0,0.0,0.0,4.0,2,1.0,0.0,1,2,3,,"25.247665,55.305948",Al Karama,-,-,-,1,i4010,i4,2014-05-03,19:35:00,,318,488,1
1088,0.0,3.0,42.0,2.0,2.0,0.0,2.0,2.0,3,1.0,0.0,1,2,3,,"25.247743,55.305884",Al Karama,-,-,-,1,i4010,i4,2014-05-03,19:46:00,,318,488,1
1090,0.0,5.0,45.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,2,5,3,,"25.247646,55.306184",Al Karama,-,Al Shraifi,-,1,i4021,i4,2014-05-03,18:27:00,,318,488,1
1091,0.0,3.0,24.0,0.0,4.0,0.0,0.0,4.0,2,1.0,0.0,2,5,3,,"25.247976,55.307257",Al Karama,-,-,-,1,i4021,i4,2014-05-03,18:52:00,,318,488,1
1092,0.0,5.0,40.0,0.0,1.0,0.0,0.0,1.0,2,1.0,0.0,1,4,3,,"25.247161,55.305626",Al Karama,-,-,-,1,i4021,i4,2014-05-03,20:38:00,,318,489,1
1093,0.0,4.0,32.0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,2,3,3,,"25.247258,55.305240",Al Karama,-,-,-,1,i4021,i4,2014-05-03,20:48:00,,318,489,1
1094,0.0,3.0,16.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,1,5,3,,"25.242707,55.297762",Karama,-,-,Karama Metro Station,1,i4016,i4,2014-05-03,16:54:00,,318,493,1
1095,0.0,3.0,16.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,1,5,3,,"25.242474,55.297601",Karama,-,-,Karama Metro Station,1,i4016,i4,2014-05-03,17:30:00,,318,493,1
1096,0.0,3.0,16.0,2.0,4.0,0.0,2.0,4.0,2,4.0,0.0,1,6,3,,"25.242542,55.297633",Karama,-,-,KArama Metro Station,1,i4016,i4,2014-05-03,17:55:00,,318,493,1
1097,0.0,3.0,36.0,0.0,2.0,0.0,0.0,2.0,2,2.0,0.0,2,10,3,,"25.240067,55.297558",Karama,-,-,Karama Metro Station,1,i4016,i4,2014-05-03,19:52:00,,318,495,1
1098,0.0,3.0,36.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,5,3,,"25.240038,55.297612",Karama,-,-,Karama Metro Station,1,i4016,i4,2014-05-03,20:08:00,,318,495,1
1099,0.0,3.0,12.0,2.0,6.0,0.0,2.0,6.0,2,3.0,0.0,1,6,3,,"25.247588,55.302386",Karama,-,-,Pizza Inn,1,i4016,i4,2014-05-03,17:53:00,,318,487,1
1100,0.0,3.0,12.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,6,3,,"25.242677,55.297655",Karama,-,-,Karama Metro Station,1,i4016,i4,2014-05-03,19:13:00,,318,493,1
1101,0.0,3.0,36.0,0.0,3.0,0.0,0.0,3.0,2,2.0,1.0,1,7,3,,"25.242697,55.297676",Karama,-,-,Karama MEtro Station,1,i4016,i4,2014-05-03,19:35:00,,318,493,1
1102,0.0,3.0,36.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,1,10,3,,"25.240009,55.297590",Karama,-,-,Sana,1,i4016,i4,2014-05-03,22:40:00,,318,495,1
1103,0.0,3.0,36.0,0.0,4.0,0.0,0.0,4.0,2,3.0,0.0,2,10,3,,"25.240067,55.297494",Karama,-,-,Sana,1,i4016,i4,2014-05-03,22:51:00,,318,495,1
1104,0.0,3.0,36.0,0.0,2.0,0.0,0.0,2.0,2,0.0,2.0,2,10,3,,"25.240028,55.297462",Karama,,,Sana,1,i4016,i4,2014-05-03,23:08:00,,318,495,1
1105,0.0,3.0,24.0,0.0,7.0,0.0,0.0,7.0,2,5.0,0.0,1,6,3,,"25.242988,55.298020",Karama,-,Mustafawi,Karama Metro Station,1,i4016,i4,2014-05-03,23:27:00,,318,493,1
1106,0.0,3.0,36.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,2,9,3,,"25.240106,55.297515",Karama,-,-,Sana,1,i4016,i4,2014-05-03,23:56:00,,318,495,1
1107,0.0,3.0,36.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,8,3,,"25.241891,55.297333",KARAMA,-,-,-,1,i4015,i4,2014-05-03,16:59:00,,318,493,1
1108,0.0,3.0,60.0,0.0,4.0,0.0,0.0,4.0,2,1.0,0.0,2,6,3,,"25.241629,55.297730",AL KARAMA,-,-,KARAMA METRO STATION,1,i4015,i4,2014-05-03,19:30:00,,318,493,1
1109,0.0,3.0,60.0,0.0,4.0,0.0,0.0,4.0,2,2.0,0.0,2,6,3,,"25.240659,55.297365",AL KARAMA,,SPORT HOSPITALITY,-,1,i4015,i4,2014-05-03,19:53:00,,318,493,1
1110,0.0,2.0,26.0,0.0,6.0,0.0,0.0,6.0,2,2.0,0.0,3,7,3,,"25.241833,55.297751",AL KARAMA,-,SPORT HOSPITALITY,0,1,i4015,i4,2014-05-03,20:08:00,,318,493,1
1111,0.0,3.0,60.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,3,5,3,,"25.240717,55.297322",AL KARAMA,,-,-,1,i4015,i4,2014-05-03,20:25:00,,318,493,1
1113,0.0,3.0,36.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,2,5,3,,"25.241882,55.297794",Al Karama,-,-,Sana Fashion,1,i4014,i4,2014-05-03,19:21:00,,318,493,1
1114,0.0,3.0,36.0,0.0,2.0,0.0,0.0,2.0,2,2.0,0.0,2,5,3,,"25.241891,55.297805",Al Karama,-,-,Al Karama Metro Station,1,i4014,i4,2014-05-03,19:34:00,,318,493,1
1116,0.0,3.0,60.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,3,5,3,,"25.240572,55.297183",Al Karama,-,-,-,1,i4014,i4,2014-05-03,20:05:00,,318,493,1
1117,0.0,3.0,60.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,3,5,3,,"25.240882,55.297129",Al Karama,-,-,-,1,i4014,i4,2014-05-03,22:58:00,,318,493,1
1118,0.0,3.0,60.0,0.0,4.0,0.0,0.0,4.0,2,1.0,0.0,3,5,3,,"25.240387,55.296367",Al Karama,-,Sana Fashion,-,1,i4014,i4,2014-05-03,23:11:00,,318,493,1
1120,0.0,3.0,60.0,0.0,5.0,0.0,0.0,5.0,2,1.0,0.0,3,5,3,,"25.240300,55.296561",Al Karama,-,Sana Fashion,-,1,i4014,i4,2014-05-03,01:26:00,,318,493,1
1121,0.0,3.0,16.0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,1,2,3,,"25.242270,55.297376",0,Karama,-,-,1,i4017,i4,2014-05-03,17:01:00,,318,493,1
1122,0.0,3.0,16.0,0.0,1.0,0.0,0.0,1.0,2,1.0,0.0,1,2,3,,"25.242348,55.297537",Al Karama,-,-,-,1,i4017,i4,2014-05-03,17:27:00,,318,493,1
1124,0.0,3.0,36.0,0.0,2.0,0.0,0.0,2.0,2,2.0,0.0,2,7,3,,"25.239465,55.298127",Al Karama,-,-,-,1,i4017,i4,2014-05-03,20:23:00,,318,495,1
1125,0.0,3.0,50.0,0.0,5.0,0.0,0.0,5.0,2,1.0,0.0,2,9,3,,"25.238534,55.298781",Al Karama,-,-,-,1,i4017,i4,2014-05-03,01:13:00,,318,495,1
1126,0.0,3.0,50.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,2,6,3,,"25.239727,55.298309",Al Karama,-,-,-,1,i4017,i4,2014-05-03,01:48:00,,318,495,1
1127,0.0,3.0,26.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,3,1,3,,"25.248946,55.302215",Al Karama,4B Street,202,-,1,i4009,i4,2014-05-03,17:16:00,,318,487,1
1130,0.0,3.0,33.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,3,2,3,,"25.249451,55.302365",Al Karama,4A Street,Alamani 47,-,1,i4009,i4,2014-05-03,20:12:00,,318,487,1
1131,0.0,3.0,26.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,3,10,3,,"25.247898,55.303223",karama 1,-,-,-,1,i4011,i4,2014-05-03,17:49:00,,318,489,1
1132,0.0,3.0,26.0,1.0,2.0,0.0,1.0,2.0,2,1.0,0.0,3,10,3,,"25.247782,55.303137",karama 1,-,-,-,1,i4011,i4,2014-05-03,18:05:00,,318,489,1
1134,0.0,3.0,33.0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,3,4,3,,"25.247316,55.302880",karama,-,-,-,1,i4011,i4,2014-05-03,18:49:00,,318,489,1
1135,0.0,3.0,33.0,1.0,2.0,0.0,1.0,2.0,2,1.0,0.0,3,10,3,,"25.246579,55.302644",karama,-,-,-,1,i4011,i4,2014-05-03,20:08:00,,318,489,1
1136,0.0,3.0,33.0,2.0,2.0,0.0,2.0,2.0,2,0.0,0.0,3,10,3,,"25.247374,55.302923",karama,-,-,-,1,i4011,i4,2014-05-03,20:19:00,,318,489,1
1137,0.0,3.0,33.0,1.0,2.0,0.0,1.0,2.0,2,0.0,0.0,3,10,3,,"25.246423,55.302386",Karama,-,-,-,1,i4011,i4,2014-05-03,20:31:00,,318,489,1
1139,0.0,4.0,80.0,0.0,8.0,0.0,0.0,8.0,2,0.0,0.0,1,1,3,,"25.245239,55.299811",al karama,-,-,-,1,i4008,i4,2014-05-03,16:22:00,,318,490,1
1141,0.0,4.0,80.0,0.0,9.0,0.0,0.0,9.0,2,1.0,0.0,1,2,3,,"25.242454,55.298299",al karama,-,-,-,1,i4008,i4,2014-05-03,18:35:00,,318,493,1
1142,0.0,3.0,26.0,1.0,3.0,0.0,1.0,3.0,1,2.0,0.0,2,4,3,,"25.248733,55.301507",Al Karma,-,Star building,,1,i4005,i4,2014-05-03,18:58:00,,318,487,1
1143,0.0,2.0,26.0,1.0,3.0,0.0,1.0,3.0,1,1.0,0.0,2,4,3,,"25.248228,55.301571",Al Karama,-,Star Building,-,1,i4005,i4,2014-05-03,19:25:00,,318,487,1
1144,0.0,3.0,33.0,1.0,2.0,0.0,1.0,2.0,1,1.0,0.0,2,3,3,,"25.248655,55.301743",Al Karma,-,Al Amani,-,1,i4005,i4,2014-05-03,19:51:00,,318,487,1
1145,0.0,3.0,33.0,0.0,1.0,0.0,0.0,1.0,2,1.0,0.0,2,6,3,,"25.248170,55.301464",Al Karma,-,Al Amani,-,1,i4005,i4,2014-05-03,20:13:00,,318,487,1
1146,0.0,3.0,26.0,1.0,3.0,0.0,1.0,3.0,2,1.0,0.0,3,10,3,,"25.248306,55.301421",Al Karama,-,-,-,1,i4005,i4,2014-05-03,20:29:00,,318,487,1
1147,0.0,3.0,33.0,0.0,2.0,0.0,0.0,2.0,2,1.0,0.0,3,5,3,,"25.248257,55.301410",Al Karama,Sheikh Khalifa Bin Zayed Road,Al Amani,Burjuman,1,i4018,i4,2014-05-03,18:52:00,,318,487,1
1148,0.0,3.0,26.0,1.0,3.0,0.0,1.0,3.0,2,1.0,0.0,3,3,3,,"25.248257,55.301410",Al Karama,-,-,-,1,i4018,i4,2014-05-03,19:26:00,,318,487,1
1149,0.0,3.0,33.0,0.0,4.0,0.0,0.0,4.0,2,1.0,0.0,3,7,3,,"25.247481,55.301056",Al Karama,Sheikh Khalifa Bin Zayed Road,Al Amani,Burjuman,1,i4018,i4,2014-05-03,19:45:00,,318,487,1
1151,0.0,3.0,26.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,3,5,3,,"25.247481,55.301056",Al Karama,Sheikh Khalifa Bin Zayed Road,Star Building,Burjuman,1,i4018,i4,2014-05-03,20:49:00,,318,487,1
1154,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,2,2.0,0.0,3,6,1,,"25.204990,55.250920",Jumeirah 2,26A,-,-,1,i4014,i4,2014-05-05,17:42:00,,342,605,1
1155,0.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1,4.0,0.0,3,10,1,,"25.203699,55.248828",Jumeria 2,22 A Street,31,-,1,i4004,i4,2014-05-05,18:08:00,,342,605,1
1156,0.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2,1.0,0.0,3,10,1,,"25.204048,55.249043",Jumeira 2,22 A Street,29,-,1,i4004,i4,2014-05-05,18:37:00,,342,605,1
1157,0.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1,2.0,0.0,2,10,1,,"25.206184,55.249815",Jumeira 2,5 B street,28,-,1,i4004,i4,2014-05-05,19:47:00,,342,605,1
