Table,Form,Question,Description,Unit type,Values,Labels
trip,T2,TQ5-1,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-1,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-1,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-1,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-1,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-1,Modes of transport,Code Value,15, Other
trip,T2,TQ5-2,Modes of transport,Code Value,1,Walk
trip,T2,TQ5-2,Modes of transport,Code Value,2,Car (as driver)
trip,T2,TQ5-2,Modes of transport,Code Value,3,Car (as passenger)
trip,T2,TQ5-2,Modes of transport,Code Value,4,Metro
trip,T2,TQ5-2,Modes of transport,Code Value,5,Public bus
trip,T2,TQ5-2,Modes of transport,Code Value,6,Company bus
trip,T2,TQ5-2,Modes of transport,Code Value,7,School bus
trip,T2,TQ5-2,Modes of transport,Code Value,8,"Minibus, shared taxi"
trip,T2,TQ5-2,Modes of transport,Code Value,9,Taxi
trip,T2,TQ5-2,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-2,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-2,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-2,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-2,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-2,Modes of transport,Code Value,15, Other
trip,T2,TQ5-3,Modes of transport,Code Value,1,Walk
trip,T2,TQ5-3,Modes of transport,Code Value,2,Car (as driver)
trip,T2,TQ5-3,Modes of transport,Code Value,3,Car (as passenger)
trip,T2,TQ5-3,Modes of transport,Code Value,4,Metro
trip,T2,TQ5-3,Modes of transport,Code Value,5,Public bus
trip,T2,TQ5-3,Modes of transport,Code Value,6,Company bus
trip,T2,TQ5-3,Modes of transport,Code Value,7,School bus
trip,T2,TQ5-3,Modes of transport,Code Value,8,"Minibus, shared taxi"
trip,T2,TQ5-3,Modes of transport,Code Value,9,Taxi
trip,T2,TQ5-3,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-3,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-3,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-3,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-3,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-3,Modes of transport,Code Value,15, Other
trip,T2,TQ5-4,Modes of transport,Code Value,1,Walk
trip,T2,TQ5-4,Modes of transport,Code Value,2,Car (as driver)
trip,T2,TQ5-4,Modes of transport,Code Value,3,Car (as passenger)
trip,T2,TQ5-4,Modes of transport,Code Value,4,Metro
trip,T2,TQ5-4,Modes of transport,Code Value,5,Public bus
trip,T2,TQ5-4,Modes of transport,Code Value,6,Company bus
trip,T2,TQ5-4,Modes of transport,Code Value,7,School bus
trip,T2,TQ5-4,Modes of transport,Code Value,8,"Minibus, shared taxi"
trip,T2,TQ5-4,Modes of transport,Code Value,9,Taxi
trip,T2,TQ5-4,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-4,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-4,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-4,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-4,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-4,Modes of transport,Code Value,15, Other
trip,T2,TQ5-5,Modes of transport,Code Value,1,Walk
trip,T2,TQ5-5,Modes of transport,Code Value,2,Car (as driver)
trip,T2,TQ5-5,Modes of transport,Code Value,3,Car (as passenger)
trip,T2,TQ5-5,Modes of transport,Code Value,4,Metro
trip,T2,TQ5-5,Modes of transport,Code Value,5,Public bus
trip,T2,TQ5-5,Modes of transport,Code Value,6,Company bus
trip,T2,TQ5-5,Modes of transport,Code Value,7,School bus
trip,T2,TQ5-5,Modes of transport,Code Value,8,"Minibus, shared taxi"
trip,T2,TQ5-5,Modes of transport,Code Value,9,Taxi
trip,T2,TQ5-5,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-5,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-5,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-5,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-5,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-5,Modes of transport,Code Value,15, Other
trip,T2,TQ5-6,Modes of transport,Code Value,1,Walk
trip,T2,TQ5-6,Modes of transport,Code Value,2,Car (as driver)
trip,T2,TQ5-6,Modes of transport,Code Value,3,Car (as passenger)
trip,T2,TQ5-6,Modes of transport,Code Value,4,Metro
trip,T2,TQ5-6,Modes of transport,Code Value,5,Public bus
trip,T2,TQ5-6,Modes of transport,Code Value,6,Company bus
trip,T2,TQ5-6,Modes of transport,Code Value,7,School bus
trip,T2,TQ5-6,Modes of transport,Code Value,8,"Minibus, shared taxi"
trip,T2,TQ5-6,Modes of transport,Code Value,9,Taxi
trip,T2,TQ5-6,Modes of transport,Code Value,10, Water transport
trip,T2,TQ5-6,Modes of transport,Code Value,11," Light goods vehicle, van"
trip,T2,TQ5-6,Modes of transport,Code Value,12," Heavy goods vehicle, truck"
trip,T2,TQ5-6,Modes of transport,Code Value,13, Motorcycle
trip,T2,TQ5-6,Modes of transport,Code Value,14, Bicycle
trip,T2,TQ5-6,Modes of transport,Code Value,15, Other
trip,T2,TQ9,PT - Ticket,Code Value,1,Silver
trip,T2,TQ9,PT - Ticket,Code Value,2,Gold
trip,T2,TQ9,PT - Ticket,Code Value,3,Blue
trip,T2,TQ9,PT - Ticket,Code Value,4,Red
trip,T2,TQ12,Car - Salik gates crossed,Code Value,1,Airport tunnel
trip,T2,TQ12,Car - Salik gates crossed,Code Value,2,Al Barsha
trip,T2,TQ12,Car - Salik gates crossed,Code Value,3,Al Garhoud bridge
trip,T2,TQ12,Car - Salik gates crossed,Code Value,4,Al Maktoum bridge
trip,T2,TQ12,Car - Salik gates crossed,Code Value,5,Al Mamzar
trip,T2,TQ12,Car - Salik gates crossed,Code Value,6,Al Safa
trip,T2,TQ13,Car - Parking type,Code Value,1,Roadside free
trip,T2,TQ13,Car - Parking type,Code Value,2,Roadside charged
trip,T2,TQ13,Car - Parking type,Code Value,3,On site free
trip,T2,TQ13,Car - Parking type,Code Value,4,On site charged
trip,T2,TQ13,Car - Parking type,Code Value,5,"Off-road, off-site, on vacant space"
trip,T2,TQ13,Car - Parking type,Code Value,6,Other
